Denver Broncos
win,opp,sc,opp_sc
W,Baltimore Ravens,19,13
W,Kansas City Chiefs,31,24
W,Detroit Lions,24,12
W,Minnesota Vikings,23,20
W,Oakland Raiders,16,10
W,Cleveland Browns,26,23
W,Green Bay Packers,29,10
L,Indianapolis Colts,24,27
L,Kansas City Chiefs,13,29
W,Chicago Bears,17,15
W,New England Patriots,30,24
W,San Diego Chargers,17,3
L,Oakland Raiders,12,15
L,Pittsburgh Steelers,27,34
W,Cincinnati Bengals,20,17
W,San Diego Chargers,27,20
W,Pittsburgh Steelers,23,16
W,New England Patriots,20,18
W,Carolina Panthers,24,10
